;Для кошки;Полезный факт;;Вопрос;Ответ1 (правильный);Ответ2;Ответ3;Пояснение;товары;;;;;;;;;;;;;;;;
1;Сухой корм;Первый промышленно изготовленный корм появился 159 лет назад в Англии, а придумал технологию американец;;Как часто кормить кошку?;2 раза в день;Корм всегда должен быть в миске;Когда просит;Ветеринары рекомендуют кормить кошку 2 раза в день примерно в одно и то же время;"1024845
1024846
1024847
1024848
1024849
1024850
1024851
1024852
1024853
1024854
1024855
1024856
";;;;;;;;;;;;;;;;
2;Лежаки и домики;Кошки могут спать до 16 часов в день, а пожилые кошки — до 20. Около 83 % жизни.;;Нужен ли кошке свой домик?;Да. Это её убежище;Вся квартира ее пространство;Нет. Поспит на диване;Замечали, как кошки залезают в коробки? Кошки очень любят личное пространство. Поэтому, домик - незаменимый элемент комфортной жизни;https://4lapy.ru/catalog/koshki/lezhaki-i-domiki-koshki/;;;;;;;;;;;;;;;;
3;Влажный корм;Влажный корм снижает риск развития мочекаменной болезни у кошек.;;Какой корм лучше давать кошке?;Влажный и сухой;Только влажный;Только сухой;Сбалансированный рацион для кошки - это сочетания сухого и влажного кормов. Ветеринары рекомендуют чередовать сухой и влажный корма в течение дня;https://4lapy.ru/catalog/koshki/korm-koshki/konservy/;;;;;;;;;;;;;;;;
4;Наполнитель;Кошки, как правило, «роют» наполнитель в лотке правой лапой, а коты — левой.;;Для чего кошки копают наполнитель?;Из-за инстинкта;От скуки;Не нравится запах;Кошки в природе является объектом охоты более крупных хищников, поэтому им нужно замести следы, закапывая любые свидетельства своего присутствия;https://4lapy.ru/catalog/koshki/napolniteli-koshki/;;;;;;;;;;;;;;;;
5;Лакомства для выведения шерсти;В состав лакомств для кошек входят минералы и витамины, восполняющие суточную норму микроэлементов.;;Почему кошки не выплевывают свою шерсть?;Из-за строения языка;Из-за любви к чистоте;Нравится вкус шерсти;Кошки не могут выплюнуть шерсть, поскольку язык покрыт сотнями небольших шероховатых выступов, направленных назад.;https://4lapy.ru/catalog/koshki/lakomstva-vitaminy-dobavki/;;;;;;;;;;;;;;;;
6;Когтеточка;Кошки точат когти, чтобы избавиться от отслоившихся частей.;;Почему кошки царапают мебель?;Метят территорию;Вредничают;Им скучно;На задней поверхности передних лап у кошек расположены железы, которыми они метят территорию.;https://4lapy.ru/catalog/koshki/kogtetochki/;;;;;;;;;;;;;;;;
7;Игрушка мышь;В процессе производства многих игрушек используют кошачью мяту, чтобы подогреть интерес животного.;;Вредна ли кошачья мята в игрушках?;Нет;Вредна только для активных животных;Да, вызывает зависимость;Кошачья мята совершенно безобидна и даже полезна. На чрезмерно активных кошек мята оказывает успокоительный эффект, а слишком флегматичные питомцы становятся более подвижными.;https://4lapy.ru/catalog/koshki/igrushki-koshki/;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Собака;;;;;;;;;;;;;;;;;;;;;;;;
1;Сухой корм;Первый промышленно изготовленный корм появился 159 лет назад в Англии, а придумал технологию американец.;;Как часто нужно кормить собаку?;2 раза в день;Корм всегда должен быть в миске;Когда просит;Ветеринары рекомендуют кормить собаку 2 раза в день утром и вечером примерно в одно и то же время.;"1019487
1019488
1019490
1019491
1019485
1019483
1019484
1019479
1019478
1019477
1019486
1019482
1019481
1019480
1027874
1027875
1027876
1027877
1035776
1035777
1035778
1035779
1035780
1035781
1035782
1035783
1035784
1035542
1035543
1035544
";;;;;;;;;;;;;;;;
2;Влажный корм;Влажный корм предотвращает обезвоживание и снижает риск появления мочекаменной болезни у собак.;;Какой корм лучше давать собаке?;Влажный и сухой;Только влажный;Только сухой;Сбалансированный рацион для собаки - это сочетания сухого и влажного кормов. Ветеринары рекомендуют чередовать сухой и влажный корма в течение дня;https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/;;;;;;;;;;;;;;;;
3;Рулетка;В 1972 году Манфред Богдан взял стартовый механизм электропилы и поместил его между 2-мя деревянными ракушками, создав первую рулетку.;;На что обращать внимание при выборе рулетки?;На вес собаки;На длину поводка;На наличие контейнера для пакетиков;В первую очередь следует ориентироваться на рекомендуемый вес питомца. Оставляйте небольшой запас прочности. Для собаки 15 кг лучше взять рулетку, рассчитанную на 20 кг.;https://4lapy.ru/catalog/sobaki/namordniki-osheyniki-povodki/ruletki/;;;;;;;;;;;;;;;;
4;Лакомство для чистки зубов;У взрослой собаки 42 зуба: 20 сверху, 22 снизу. Лакомства для читки зубов помогают убрать налет и зубной камень.;;Следует ли учитывать калорийность лакомства при расчете дневного рациона?;Да. Калорийность не должна превышать 10% суточной нормы;Нет, лакомства не влияют на вес;Нет, собака без труда похудеет;Объем дневной порции лакомства не должен превышать 10% от суточного рациона.;https://4lapy.ru/catalog/sobaki/lakomstva-i-vitaminy-sobaki/;;;;;;;;;;;;;;;;
5;Зимний комбинезон;В 1892 году в Англии вышел первый в мире каталог одежды для собак.;;Зачем нужно одевать собаку зимой?;Защитить от холода и реагентов;Собачки выглядят мило;Одежда не нужна;Чтобы защитить собаку от дождя, снега и реагентов, необходимо использовать попоны, дождевики и комбинезоны.;https://4lapy.ru/catalog/sobaki/odezhda-i-obuv/;;;;;;;;;;;;;;;;
6;Лежак;Собаки спят до 14 часов в сутки (58 % жизни).;;Где в квартире расположить лежак ?;В тихом месте;Поближе к батарее;На самом видном месте;Лежанка должна располагаться в спокойном месте для отдыха. Нельзя располагать лежанку вблизи батарей и холодильников. Нежелательно располагать животное на кухне или в прихожей.;https://4lapy.ru/catalog/sobaki/lezhaki-i-domiki/;;;;;;;;;;;;;;;;
7;Ботинки для собак;У большинства собак на передних лапах пять пальцев. А на задних - 4.;;Какой способ защиты лап от реагентов наиболее эффективен?;Обувь;Мази;Достаточно помыть лапы после прогулки;Обувь гарантировано защитит лапы от контакта с реагентами. Гели или мази также эффективны, но собака может их слизывать, к тому же после прогулки такие средства необходимо тщательно смывать.;https://4lapy.ru/catalog/sobaki/odezhda-i-obuv/obuv/;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
